name,country_code,region,city,industry,employee_range,employee_count_est,company_age_years,founded_year,ipo_status,is_active,is_for_profit,cb_rank,has_funding,funding_total_usd,num_funding_rounds,last_funding_type,last_funding_year,fin_num_investors,it_spend_usd,active_tech_count,builtwith_num_technologies_used,semrush_visits_latest_month,monthly_visits_growth,num_contacts,num_employee_profiles,num_news,num_investors,num_acquisitions,num_current_positions,website,contact_email,contact_phone,active_hiring,recent_funding_event,web_visits_30d,email_engagement_score,crm_completeness_pct,days_since_last_contact,reply_rate_pct,deal_potential_usd,intent_score,last_contact_channel,lead_score,converted
FM Steel Services,GB,EU,Sheerness,Architecture,11-50,30.0,9.0,2015.0,private,1,1,2413885.0,0,0,0,none,,0,47125.0,1.0,1.0,1587.5,-0.120360248,5.0,0,3.0,1.0,1.0,1.0,https://www.fmsteelservices.co.uk,fms███lse███ces█████████m,+44███939███349███,1,0,1663,37.0,39.1,137,13.84,18497,44.9,Phone,41.23,0
Sellrs,MX,Unknown,Miguel Hidalgo,E-Commerce,1-10,5.0,2.0,2022.0,private,1,1,1709124.0,0,0,0,none,,0,195183.5,7.0,7.0,1587.5,-0.120360248,5.0,0,3.0,1.0,1.0,1.0,https://www.sellrs.co,joi███llr███ell██████,,1,0,1634,41.7,43.5,20,16.24,15559,59.5,Phone,46.56,1
Sensorimotor Psychotherapy Institute,US,Unknown,Broomfield,Education,11-50,30.0,43.0,1981.0,private,1,1,1689210.0,0,0,0,none,,0,24431.0,34.0,34.0,14788.0,1.088405592,9.0,0,3.0,1.0,1.0,1.0,https://www.sensorimotorpsychotherapy.org,inf███ens███mot█████████,+1 ███  4███329███,1,0,14790,42.3,56.7,233,15.03,16805,58.3,Email,50.09,1
Altegris Investments Inc,US,Unknown,Coushatta,Finance,101-250,175.0,22.0,2002.0,private,1,1,2241803.0,0,0,0,none,,0,195183.5,1.0,1.0,1587.5,-0.120360248,5.0,0,3.0,1.0,1.0,1.0,https://www.altegris-portfolio-management.com,,,1,0,1590,26.6,46.7,201,12.44,112774,47.4,Phone,40.38,0
Wilson Parking Hong Kong,TH,AS,Ban Nong Kong Chak,Automotive,Unknown,30.0,41.0,1983.0,private,1,1,421425.0,0,0,0,none,,0,195183.5,14.0,14.0,649.0,-0.13005618,5.0,0,3.0,1.0,1.0,1.0,https://www.wilsongrouphk.com/,inf███ils███ark█████████k,+85███954███29,0,0,680,30.0,43.5,278,5.89,73928,40.4,Event,25.46,0
Woodwise,US,Unknown,Redmond,Building Material,11-50,30.0,15.0,2009.0,private,1,1,1834871.0,0,0,0,none,,0,195183.5,8.0,8.0,1895.0,0.351640514,8.0,0,3.0,1.0,1.0,1.0,http://woodwise.com,inf███ood███e.c███,1-4███869███59,0,0,1919,16.4,41.6,130,2.76,30147,58.7,Email,30.8,0
Shade Mountain Winery & Vineyard,US,Unknown,Middleburg,Manufacturing,11-50,30.0,35.0,1989.0,private,1,1,1282551.0,0,0,0,none,,0,195183.5,29.0,29.0,1587.5,-0.120360248,5.0,2,3.0,1.0,1.0,2.0,https://shademountainwinery.com/,sha███twi███y@g█████████,+1 ███ 83███644███,0,0,1595,27.2,38.9,147,22.07,26862,16.5,,22.38,0
Solo Group,US,Unknown,Chicago,Information Technology,1-10,5.0,26.0,1998.0,private,1,1,2287642.0,0,0,0,none,,0,73300.0,19.0,19.0,1587.5,-0.120360248,5.0,0,3.0,1.0,1.0,1.0,https://sologroup.com,inf███olo███up.██████,1 3███945███70,0,0,1612,30.5,37.2,28,5.61,18391,33.8,LinkedIn,27.67,0
Cosmos,US,Unknown,City Of Industry,E-Commerce,101-250,175.0,14.0,,private,1,1,1224839.0,0,0,0,none,,0,189589.0,7.0,7.0,1587.5,-0.120360248,3.0,0,3.0,1.0,1.0,1.0,https://cosmosfood.com,inf███osm███ood██████,+1 ███ 22███142███,0,0,1805,26.8,38.1,360,4.93,106468,34.5,LinkedIn,22.8,0
Shophysio,Unknown,Unknown,Unknown,Health Care,1-10,5.0,6.0,2018.0,private,1,1,3171033.0,0,0,0,none,,0,195183.5,19.0,19.0,1587.5,-0.120360248,5.0,0,3.0,1.0,1.0,1.0,https://shophysio.com/,mar███ing███oph█████████,(32███236███75,0,0,1644,5.6,50.0,307,14.21,14230,39.8,LinkedIn,23.6,0
Sobos Utveckling AB,SE,EU,Eslöv,Consulting,1-10,5.0,10.0,2014.0,private,1,1,3023670.0,0,0,0,none,,0,195183.5,1.0,1.0,1587.5,-0.120360248,5.0,0,3.0,1.0,1.0,1.0,http://www.sobos.one/,,,0,0,1591,12.4,42.2,161,0.0,15033,14.1,Email,20.49,0
CryptoBucks,US,Unknown,Fort Lauderdale,Financial Services,101-250,175.0,21.0,2003.0,private,1,1,529118.0,0,0,0,none,,0,195183.5,26.0,26.0,1587.5,-0.120360248,6.0,1,5.0,1.0,1.0,1.0,https://cryptobucksapp.com/,,,0,0,1604,16.2,34.0,356,4.45,98453,22.1,Phone,19.69,0
Weiler Abrasives,US,Unknown,Cresco,Manufacturing,1001-5000,3000.0,23.0,2001.0,private,1,1,293172.0,1,0,1,debt_financing,2016.0,1,2980846.0,4.0,4.0,6236.0,-0.521301911,169.0,1,3.0,1.0,1.0,1.0,https://www.weilerabrasives.com/,Inf███lov███a@w█████████siv█████████,+38███0)3███75 ██████,1,0,6242,46.0,94.1,339,10.25,1652858,58.0,LinkedIn,60.43,1
bVisible,CH,EU,Echallens,Internet,1-10,5.0,11.0,2013.0,private,1,1,1645788.0,0,0,0,none,,0,195183.5,29.0,29.0,1587.5,-0.120360248,5.0,0,3.0,1.0,1.0,1.0,http://bvisible.ch,inf███vis███e.c███,+41███ 51███932███,0,0,1598,29.8,46.6,60,8.18,16926,22.1,Email,25.56,0
ShortRound Games,GB,EU,Brighton,Unknown,Unknown,30.0,13.0,2011.0,private,1,1,2242379.0,0,0,0,none,,0,175832.0,7.0,7.0,1587.5,-0.120360248,5.0,0,3.0,1.0,1.0,1.0,https://ShortRoundGames.com,,,0,0,1598,35.0,32.7,124,2.53,24716,31.2,Phone,25.92,0
Woodward Realty Group,US,Unknown,Middletown,Property Management,101-250,175.0,37.0,1987.0,private,1,1,395181.0,0,0,0,none,,0,1368252.0,12.0,12.0,439.0,-0.120360248,21.0,0,3.0,1.0,1.0,1.0,https://www.woodwardrealtygroup.com/,wrg███odw███rea█████████com███,(73███671███00,1,0,448,30.1,53.3,70,17.9,156507,44.5,Email,44.02,1
Wolters Europe,NL,EU,Enter,Industrial,51-100,75.0,14.0,,private,1,1,1050196.0,0,0,0,none,,0,312428.0,29.0,29.0,1600.0,-0.281867145,4.0,0,3.0,1.0,1.0,1.0,https://www.wolterseurope.com/,inf███olt███eur█████████,+31███) 5███38 ██████,0,0,1603,20.0,44.1,325,7.54,53529,26.0,LinkedIn,21.4,0
Tracs Group,US,Unknown,Duluth,Consulting,1-10,5.0,14.0,,private,1,1,1690490.0,0,0,0,none,,0,247060.0,11.0,11.0,1587.5,-0.120360248,1.0,0,3.0,1.0,1.0,1.0,https://www.tracsgroup.com,inf███rac███oup██████,855███8-7███,0,0,1604,36.5,54.4,363,8.9,20421,16.4,Phone,21.01,0
Toyota Shinkin Bank,JP,AS,Toyota,Banking,501-1000,750.0,14.0,,private,1,1,1666800.0,0,0,0,none,,0,195183.5,2.0,2.0,34582.0,-0.204279798,5.0,1,3.0,1.0,1.0,1.0,https://www.toyoshin.co.jp/,,,0,0,34590,23.0,35.1,242,7.62,387689,28.4,Phone,27.77,0
ShopTheRate,CA,Unknown,Toronto,Finance,1-10,5.0,15.0,2009.0,private,1,1,2331330.0,0,0,0,none,,0,195183.5,16.0,16.0,1587.5,-0.120360248,5.0,0,3.0,1.0,1.0,1.0,http://www.shoptherate.com,inf███hop███rat██████,866███222███,1,0,1587,47.7,51.8,248,13.88,14888,33.4,Email,39.45,0
SHOP THE TRENDS,US,Unknown,Los Angeles,E-Commerce,11-50,30.0,11.0,2013.0,private,1,1,2893931.0,0,0,0,none,,0,432304.0,13.0,13.0,1587.5,-0.120360248,5.0,0,3.0,1.0,1.0,1.0,http://shopthetrends.com,han███hop███tre█████████,,0,0,2024,27.9,55.2,220,0.0,42598,30.1,,25.73,0
Shaw Newman,US,Unknown,Fort Wayne,Electronics,1-10,5.0,22.0,2002.0,private,1,1,2078297.0,0,0,0,none,,0,99738.0,6.0,6.0,1587.5,-0.120360248,3.0,0,3.0,1.0,1.0,1.0,http://shaw-newman.com/,,260███7-8███,0,0,1690,8.4,37.4,20,10.05,8258,37.8,Email,26.15,0
Shermin Finance,GB,EU,Bolton,Credit,11-50,30.0,48.0,1976.0,private,1,1,1448903.0,0,0,0,none,,0,195183.5,9.0,9.0,2839.0,0.457392197,1.0,0,3.0,1.0,1.0,1.0,https://www.sherminfinance.co.uk/,enq███ies███erm█████████.co██████,+44███26 ███ 51███,0,0,2850,16.7,38.6,81,12.05,25357,50.2,LinkedIn,29.14,0
Xpresshunt,US,Unknown,Ecorse,Consulting,Unknown,30.0,14.0,,private,1,1,3203623.0,0,0,0,none,,0,195183.5,2.0,2.0,1587.5,-0.120360248,5.0,0,3.0,1.0,1.0,1.0,http://www.xpresshunt.com/home/city/bangalore,,,0,0,1608,4.5,35.7,343,0.31,29038,17.6,LinkedIn,17.39,0
Hiveworks Comics,US,Unknown,Portland,Publishing,1-10,5.0,13.0,2011.0,private,1,1,1243554.0,0,0,0,none,,0,195183.5,4.0,4.0,305018.0,0.192575969,2.0,0,3.0,1.0,1.0,1.0,https://hiveworkscomics.com/,hel███the███ewo█████████,,0,1,305021,36.6,40.0,9,23.68,12482,57.7,LinkedIn,53.16,1
Drewes & Keretic,DE,EU,Hamburg,Brand Marketing,11-50,30.0,25.0,1999.0,private,1,1,1277835.0,0,0,0,none,,0,118242.0,5.0,5.0,1587.5,-0.120360248,5.0,0,3.0,1.0,1.0,1.0,https://dk-activation.com/de/,inf███und███e,+49███ 28███95 ██████,0,0,1843,31.9,43.7,11,0.0,22933,22.2,Email,26.38,0
Szafa.pl,PL,EU,Warsaw,E-Commerce,1-10,5.0,15.0,2009.0,private,1,1,1085087.0,0,0,0,none,,0,195183.5,44.0,44.0,44106.0,-0.605851549,5.0,1,3.0,1.0,1.0,1.0,https://szafa.pl/,inf███irm███zaf██████,,0,0,44451,43.5,49.3,262,6.02,132791,22.8,LinkedIn,29.56,0
Sell This Guitar,US,Unknown,Portland,E-Commerce,1-10,5.0,11.0,2013.0,private,1,1,2814822.0,0,0,0,none,,0,195183.5,3.0,3.0,1587.5,-0.120360248,5.0,0,3.0,1.0,1.0,1.0,http://www.sellthisguitar.com,edi███@ge███myb█████████,818███2-4███,1,0,1612,38.4,52.7,144,17.05,12653,34.3,Phone,40.21,0
Altıntel Port and Terminal Operations,TR,AS,Kocaeli,Chemical,101-250,175.0,35.0,1989.0,private,1,1,130934.0,1,8500000,1,debt_financing,2021.0,1,195183.5,1.0,1.0,133.0,-0.120360248,5.0,0,3.0,1.0,1.0,1.0,https://www.altintel.com.tr/,,,0,1,226,46.6,38.0,191,17.87,98823,41.4,Phone,47.8,1
Yord,RU,EU,Moscow,Chatbot,1-10,5.0,19.0,2005.0,private,1,1,108579.0,1,187028,2,pre_seed,2019.0,2,195183.5,9.0,9.0,1587.5,-0.120360248,5.0,2,3.0,2.0,1.0,2.0,http://www.yord.ru,inf███ord███,+7 ███2) ███-30██████,1,1,1613,39.2,28.3,249,30.48,12382,69.5,LinkedIn,63.94,1
Woodwork for Inventor,LT,EU,Vilnius,Furniture,Unknown,30.0,13.0,2011.0,private,1,1,1687753.0,0,0,0,none,,0,195183.5,21.0,21.0,1057.0,-0.797858099,5.0,0,3.0,1.0,1.0,1.0,https://www.woodworkforinventor.com/,inf███ood███kfo█████████.co███,+37███ 26███490███,0,0,1059,13.4,43.8,113,9.24,26858,41.2,LinkedIn,26.47,0
Sobie Systems,CA,Unknown,Toronto,"Heating, Ventilation, and Air Conditioning (HVAC)",1-10,5.0,7.0,2017.0,private,1,1,196962.0,1,25000,3,non_equity_assistance,2019.0,3,83115.0,17.0,17.0,1587.5,-0.120360248,5.0,1,3.0,3.0,1.0,1.0,https://www.sobiesystems.com/,inf███obi███ste█████████,,0,0,1598,48.5,46.3,25,4.45,63598,22.6,LinkedIn,32.99,0
Smith Heating & Air Conditioning,US,Unknown,Stockton,Construction,11-50,30.0,14.0,,private,1,1,2127835.0,0,0,0,none,,0,186058.0,7.0,7.0,1587.5,-0.120360248,5.0,0,3.0,1.0,1.0,1.0,http://smithheating-air.com/,inf███mit███ati█████████m,+1 ███-46███434███,0,0,1611,24.2,46.0,270,1.62,30308,42.5,,26.17,0
Soccer Shots,US,Unknown,St. Charles,Children,11-50,30.0,14.0,2010.0,private,1,1,341377.0,0,0,0,none,,0,454791.0,80.0,80.0,193892.0,-0.194656853,36.0,4,3.0,1.0,1.0,4.0,https://www.soccershots.com,stl███cce███ots██████,+1 ███ 69███414███,0,0,193902,26.1,66.2,32,0.0,38926,34.8,Email,39.07,0
Crystal ICT,NL,EU,Rijswijk,Information and Communications Technology (ICT),11-50,30.0,17.0,2007.0,private,1,1,1564233.0,0,0,0,none,,0,195183.5,33.0,33.0,22215.0,5.0,5.0,0,3.0,1.0,1.0,1.0,https://crystalict.nl/nl/,ser███ede███cry█████████l,+31███5 2███01 ██████,0,0,22229,38.9,45.0,61,3.05,103358,46.8,,36.31,0
CT & Associates,US,Unknown,Mattapoisett,Accounting,Unknown,30.0,42.0,1982.0,private,1,1,1833634.0,0,0,0,none,,0,88191.0,2.0,2.0,1587.5,-0.120360248,5.0,0,3.0,1.0,1.0,1.0,https://www.ct-associates.net/,kri███n.t███a@c█████████tes██████,+1-███-75███430███,0,0,1605,23.2,56.1,228,0.0,19627,12.8,Email,21.51,0
Cosmo Electronics,TW,AS,Chungho,Electronics,1001-5000,3000.0,43.0,1981.0,public,1,1,1245275.0,0,0,0,none,,0,195183.5,9.0,9.0,230.0,-0.961762261,5.0,0,3.0,1.0,1.0,1.0,http://www.cosmo-ic.com/,sal███cos███ic.██████,886███822███877███,1,0,247,42.8,47.1,302,13.11,1515648,52.6,LinkedIn,40.88,1
Crushing Cones,CA,Unknown,Toronto,Marketing,1-10,5.0,8.0,2016.0,private,1,1,1118297.0,0,0,0,none,,0,292814.0,22.0,22.0,1302.0,-0.120360248,5.0,0,3.0,1.0,1.0,1.0,https://crushingcones.com,hel███cru███ngc█████████,647███731███,1,0,1323,47.9,41.0,94,12.67,20426,32.7,Phone,40.42,0
Jiji,SG,AS,Singapore,E-Commerce,Unknown,30.0,14.0,,private,1,1,1261685.0,0,0,0,none,,0,195183.5,7.0,7.0,35180.0,0.192825416,5.0,0,3.0,1.0,1.0,1.0,https://www.jiji.sg,sal███jij███g,+65███47-███9,0,0,35184,35.4,40.0,34,9.02,26817,42.4,Phone,35.05,0
Shore Financial,US,Unknown,La Jolla,Accounting,1-10,5.0,9.0,2015.0,private,1,1,2101687.0,0,0,0,none,,0,105089.0,2.0,2.0,1587.5,-0.120360248,4.0,0,3.0,1.0,1.0,1.0,https://shore-financial.com,inf███hor███ina█████████,1 (███) 7███541███,0,0,1594,28.5,41.8,192,5.37,17757,28.0,Email,24.28,0
Solvari,NL,EU,Nieuwegein,"Heating, Ventilation, and Air Conditioning (HVAC)",101-250,175.0,15.0,2009.0,private,1,1,275626.0,1,0,1,private_equity,2018.0,1,326912.0,19.0,19.0,136261.0,-0.10639149,2.0,1,4.0,1.0,3.0,1.0,https://www.solvari.nl/,,,1,1,136263,55.1,54.7,75,42.74,104351,78.9,Phone,76.72,1
Soluri Architecture,US,Unknown,New York,Consulting,11-50,30.0,14.0,,private,1,1,2698784.0,0,0,0,none,,0,70137.0,27.0,27.0,63.0,-0.120360248,2.0,0,3.0,1.0,1.0,1.0,http://soluri-architecture.com,,1(2███686███02,0,0,150,20.4,40.1,248,0.0,23271,24.4,Email,20.7,0
Wimsure,GB,EU,London,Business Development,1-10,5.0,18.0,2006.0,private,1,1,1158081.0,0,0,0,none,,0,351960.0,3.0,3.0,1587.5,-0.120360248,1.0,0,3.0,1.0,1.0,1.0,https://www.wimsure.com,inf███ims███.co███,+44███3 0███566███,0,0,1588,27.6,40.6,82,6.57,24036,23.5,Phone,24.28,0
wonderfulmatcha,US,Unknown,Burlington,Health Care,1-10,5.0,6.0,2018.0,private,1,1,2289805.0,0,0,0,none,,0,195183.5,4.0,4.0,669.0,-0.120360248,5.0,0,3.0,1.0,1.0,1.0,https://www.wonderfulmatcha.com,inf███ond███ulm█████████,+1 ███-93███225███,0,0,782,6.1,40.1,24,2.74,13066,23.1,Email,22.88,0
Yellow & Blue,NL,EU,Zoetermeer,Advertising,1-10,5.0,23.0,2001.0,private,1,1,1768352.0,0,0,0,none,,0,195183.5,14.0,14.0,1587.5,-0.120360248,5.0,0,3.0,1.0,1.0,1.0,https://yellowblue.nl/,inf███ell███lue██████,+31███-36███30,1,0,1748,45.5,52.8,56,10.22,67806,58.2,LinkedIn,47.0,1
Woolf+Lapin,CA,Unknown,Montréal,Creative Agency,1-10,5.0,23.0,2001.0,private,1,1,1884381.0,0,0,0,none,,0,39322.0,11.0,11.0,1587.5,-0.120360248,1.0,2,3.0,1.0,1.0,2.0,http://www.woolflapin.com,sdu███uil███olf█████████,514███1.2███,0,0,1600,13.1,56.5,31,4.85,6735,33.0,Email,26.71,0
"ZheJiang YongZhu Casting Technology Co.,Ltd",Unknown,Unknown,Unknown,Manufacturing,101-250,175.0,20.0,2004.0,private,1,1,2047890.0,0,0,0,none,,0,195183.5,1.0,1.0,1587.5,-0.120360248,5.0,0,3.0,1.0,1.0,1.0,https://www.higercasting.com/,hjl███hig███com███,+86███3 3███ 89███,0,0,1587,22.9,47.6,318,4.48,99680,19.8,Email,20.95,0
WHAP International,Unknown,Unknown,Unknown,Information Technology,1-10,5.0,15.0,2009.0,private,0,1,1435152.0,0,0,0,none,,0,195183.5,22.0,22.0,1587.5,-0.120360248,5.0,0,2.0,1.0,1.0,1.0,http://www.whapee.com,inf███hap███com███,,1,0,1599,26.5,44.7,11,20.39,12897,46.2,Email,34.37,0
Westin Mortgage,US,Unknown,Riverside,Finance,251-500,375.0,25.0,1999.0,private,1,1,1162911.0,0,0,0,none,,0,227900.0,7.0,7.0,1587.5,-0.120360248,9.0,1,3.0,1.0,1.0,1.0,https://www.westinmortgage.com,mar███met███r@w█████████gag██████,+1 ███ 79███470███,1,0,1605,35.5,47.5,318,15.46,201228,46.5,Phone,40.12,0
yaoyi stainless steel Co.Ltd,Unknown,Unknown,Unknown,Manufacturing,51-100,75.0,28.0,1996.0,private,1,1,1996140.0,0,0,0,none,,0,195183.5,2.0,2.0,104.0,-0.793240557,5.0,0,3.0,1.0,1.0,1.0,https://stainlesssteelfoil.com/,ewa███bya███.co███,+86███888███352███,0,0,108,19.7,24.9,332,1.54,146185,18.7,Event,17.52,0
Yedao Information Technology,CN,AS,Shanghai,Information Technology,101-250,175.0,10.0,2014.0,private,1,1,2822179.0,0,0,0,none,,0,195183.5,15.0,15.0,1587.5,-0.120360248,5.0,0,3.0,1.0,1.0,1.0,https://yedaoholding.com,pr.███vic███hat█████████,+86███1-5███118███,1,0,1596,19.1,50.0,91,16.67,99299,40.9,,40.1,0
The Attention Exchange,GB,EU,London,Advertising,1-10,5.0,1.0,2023.0,private,1,1,307925.0,1,872994,1,seed,2023.0,0,195183.5,1.0,1.0,2207.0,-0.120360248,1.0,0,3.0,1.0,1.0,1.0,https://attentionexchange.co.uk/,hel███att███ion█████████co.███,,1,1,2406,49.2,41.9,0,28.85,18749,79.2,Email,71.3,1
Uproad,US,Unknown,Washington,GPS,51-100,75.0,6.0,2018.0,private,1,1,333205.0,0,0,0,none,,0,70520.0,8.0,8.0,682.0,-0.120360248,9.0,0,3.0,1.0,1.0,1.0,https://www.uproad.com,sup███t@u███ad.██████,877███7-7███,0,0,736,14.2,50.6,325,0.0,53430,32.8,LinkedIn,22.88,0
Systemsync Solutions,GB,EU,London,Business Development,11-50,30.0,9.0,2015.0,private,1,1,135190.0,1,4504067,2,series_b,2016.0,0,904277.0,4.0,4.0,1587.5,-0.120360248,5.0,0,3.0,1.0,1.0,1.0,http://www.systemsyncsolutions.com/,hel███sys███syn█████████s.c███,+08███532███,1,0,1592,53.8,38.3,135,13.76,62484,47.1,LinkedIn,48.27,0
Seminck Gas,BE,EU,Geraardsbergen,Delivery,11-50,30.0,14.0,,private,1,1,1483400.0,0,0,0,none,,0,372557.0,6.0,6.0,1074.0,-0.375944219,5.0,0,3.0,1.0,1.0,1.0,https://seminck.be,,+32███54 ███41 ███,1,0,1075,30.0,40.9,195,16.15,35240,35.3,Phone,37.61,0
L.A. Lift Services,US,Unknown,Vernon Hills,Automotive,1-10,5.0,37.0,1987.0,private,1,1,1961112.0,0,0,0,none,,0,76387.0,27.0,27.0,1382.0,1.424561404,2.0,0,3.0,1.0,1.0,1.0,https://www.laliftservices.com,inf███ali███erv█████████,+1 ███ 26███111███,0,0,1394,39.0,38.3,132,5.36,12372,49.4,LinkedIn,29.75,0
Altepro,CZ,EU,Prague,IT Infrastructure,11-50,30.0,10.0,2014.0,private,1,1,1368123.0,0,0,0,none,,0,195183.5,22.0,22.0,1587.5,-0.120360248,5.0,0,3.0,1.0,1.0,1.0,https://www.altepro.cz/,inf███lte███.cz███,+42███20 ███ 11███,0,0,1602,15.4,52.2,85,6.65,26834,37.2,Email,27.25,0
Altera Consulting,FR,EU,Villeneuve,Consulting,11-50,30.0,19.0,2005.0,private,1,1,1324026.0,0,0,0,none,,0,195183.5,2.0,2.0,1587.5,-0.120360248,5.0,0,3.0,1.0,1.0,1.0,https://www.altera-conseil.fr/,con███t@a███ra-█████████r,+33███ 20███ 29██████,0,0,1629,14.1,41.0,294,2.37,26571,21.9,Phone,20.32,0
Altared Weddings & Events,US,Unknown,Austin,Events,11-50,30.0,14.0,2010.0,private,1,1,2726276.0,0,0,0,none,,0,96268.0,42.0,42.0,1587.5,-0.120360248,4.0,0,3.0,1.0,1.0,1.0,https://altaredweddings.com,inf███lta███wed█████████,1 5███255███88,0,0,1596,20.4,59.9,278,6.59,32021,17.7,Phone,21.68,0
"AlternaScapes, Inc.",US,Unknown,Ellenton,Fashion,Unknown,30.0,14.0,,private,1,1,3219555.0,0,0,0,none,,0,208082.0,7.0,7.0,1587.5,-0.120360248,5.0,1,3.0,1.0,1.0,1.0,,,"941███3-3███
",1,0,1630,38.6,47.4,323,15.6,28090,53.7,Email,41.25,0
Willmott Dixon,GB,EU,Garden City,Construction,1001-5000,3000.0,14.0,,private,1,1,354220.0,0,0,0,none,,0,105719566.0,34.0,34.0,27110.0,-0.135853627,756.0,1,3.0,1.0,1.0,1.0,https://willmottdixon.co.uk,,014███671███,1,0,27476,51.8,69.8,179,15.64,6804373,56.8,LinkedIn,58.27,1
Woodland Strategies,US,Unknown,Minneapolis,Business Development,1-10,5.0,11.0,2013.0,private,1,1,2820812.0,0,0,0,none,,0,293200.0,5.0,5.0,1587.5,-0.120360248,1.0,0,3.0,1.0,1.0,1.0,https://www.woodlandstrategiesinc.com,,+1 ███ 30███594███,0,0,1655,11.9,39.8,3,5.16,19756,44.7,Phone,28.01,0
Wolfe Insurance & Consultants,US,Unknown,Tucson,Employee Benefits,Unknown,30.0,28.0,1996.0,private,1,1,3185069.0,0,0,0,none,,0,65093.0,7.0,7.0,1587.5,-0.120360248,5.0,0,3.0,1.0,1.0,1.0,https://wolfeinsurance.com,,+1 ███ 52███653███,0,0,1606,30.8,38.8,125,15.88,18667,20.9,Email,23.92,0
Yeni Flour Industry and Trade,TR,AS,Izmir,Bakery,11-50,30.0,14.0,,private,1,1,3137545.0,0,0,0,none,,0,195183.5,7.0,7.0,1587.5,-0.120360248,5.0,0,3.0,1.0,1.0,1.0,https://www.yeniayderun.com.tr,inf███eni███eru█████████,+90███32 ███ 51██████,0,0,1602,0.0,26.4,174,10.55,24776,26.4,Phone,20.27,0
Xylofuel,US,Unknown,Maryland,Biofuel,Unknown,30.0,14.0,,private,0,1,1424245.0,0,0,0,none,,0,125772.0,10.0,10.0,1587.5,-0.120360248,5.0,0,3.0,1.0,1.0,1.0,http://xylofuel.com,,,0,0,1599,8.1,56.8,250,6.48,21477,19.0,LinkedIn,12.99,0
CSL Executive Fulfillment,US,Unknown,Heber City,Management Consulting,101-250,175.0,9.0,2015.0,private,1,1,2325760.0,0,0,0,none,,0,65296.0,4.0,4.0,1587.5,-0.120360248,1.0,1,3.0,1.0,1.0,1.0,https://www.cslfulfillment.com/,inf███slf███ill█████████,+1 ███-37███503███,0,0,1705,10.4,46.4,20,1.0,91009,43.6,Event,27.96,0
CS Union S.p.A.,IT,EU,Cuneo,Financial Services,11-50,30.0,9.0,2015.0,private,0,1,1078750.0,0,0,0,none,,0,66254.0,2.0,2.0,1587.5,-0.120360248,5.0,0,3.0,1.0,1.0,1.0,http://www.csunionspa.com/it/,inf███sun███spa██████,+39███71 ███94,0,0,1595,6.5,48.3,104,3.54,22758,36.6,LinkedIn,17.67,0
Cosmo Element,DE,EU,Frankfurt,Financial Services,1-10,5.0,9.0,2015.0,private,1,1,1259348.0,0,0,0,none,,0,195183.5,13.0,13.0,1587.5,-0.120360248,5.0,1,3.0,1.0,1.0,1.0,http://www.cosmoelement.com,,,0,0,1608,9.2,45.3,65,13.08,12953,18.4,Phone,22.6,0
Soluciones Informáticas IDACO,ES,EU,Bilbao,Enterprise Resource Planning (ERP),11-50,30.0,19.0,2005.0,private,1,1,954590.0,0,0,0,none,,0,195183.5,6.0,6.0,1587.5,-0.120360248,5.0,0,3.0,1.0,1.0,1.0,http://www.idaco.es,inf███dac███s,94 ███ 01███,0,0,1609,24.1,32.9,262,2.19,24913,18.2,LinkedIn,20.36,0
Solidus Bioscience,US,Unknown,San Francisco,Biotechnology,1-10,5.0,22.0,2002.0,private,0,1,2040323.0,0,0,0,none,,0,942098.0,7.0,7.0,276.0,-0.120360248,5.0,1,3.0,1.0,1.0,1.0,http://www.solidusbiosciences.com,ger███@so███usb█████████,518███220███,0,0,285,17.9,40.1,48,4.17,52054,33.3,Phone,17.47,0
SML Events,FR,EU,Cournonterral,Construction,11-50,30.0,26.0,1998.0,private,1,1,1146231.0,0,0,0,none,,0,175906.0,21.0,21.0,787.0,-0.120360248,5.0,0,3.0,1.0,1.0,1.0,https://www.sml-evenementiel.com,con███t@s███eve█████████.co███,+33███ 67███ 02██████,0,0,789,28.8,50.7,15,3.89,24383,20.4,Email,25.58,0
xMight,US,Unknown,Sunnyvale,Electric Vehicle,11-50,30.0,9.0,2015.0,private,1,1,760582.0,1,0,1,non_equity_assistance,2019.0,1,297538.0,20.0,20.0,6355.0,5.0,1.0,1,2.0,1.0,1.0,1.0,http://www.xmight.com/,ser███e@x███ht.██████,+88███-87███281███,1,1,6387,66.9,32.4,144,31.84,35847,96.7,Phone,76.02,1
Women’s Health Center of Clarksville,US,Unknown,Clarksville,Cosmetic Surgery,11-50,30.0,14.0,,private,1,1,2412779.0,0,0,0,none,,0,109763.0,2.0,2.0,1587.5,-0.120360248,5.0,2,3.0,1.0,1.0,2.0,https://whcofclarksville.com,whc███hco███ark█████████m,+1 ███ 64███595███,0,0,1605,22.7,23.7,339,2.82,26240,22.3,Phone,19.25,0
Wharton Undergraduate Finance & Technology,US,Unknown,Philadelphia,Communities,51-100,75.0,8.0,2016.0,private,1,1,1832616.0,0,0,0,none,,0,747799.0,9.0,9.0,1587.5,-0.120360248,1.0,2,3.0,1.0,1.0,2.0,https://www.wuft.io,,,0,0,1630,26.6,39.0,249,5.88,81632,20.3,LinkedIn,21.15,0
